ASTRO 1H  - HONORS- BASIC ASTRO,1.0,Optional,W,3:30 PM-4:45 PM,"Girvetz Hall, 2119",Space Closed,Max 0,02360,Final
BIOE 120B  - CELLULAR BIOENGR,3.0,Letter Graded,TR,9:30 AM-10:45 AM,"ILP, 3105",STOWERS R S,Space 1,Max 10,02378
BIOL CS 20  - CCS INTRO BIO II,1.0-6.0,Pass/No Pass,MW,2:00 PM-3:15 PM,"Creative Studies, 143",TYLER C M,LATTO J G,Space 5,Max 20
BIOL CS 101  - MODEL & EXPERIMENTS,1.0-6.0,Pass/No Pass,W,3:30 PM-4:45 PM,"Creative Studies, 143",TYLER C M,LATTO J G,Space 3,Max 20
BIOL CS 199  - INDEPENDENT STUDIES,1.0-6.0,Pass/No Pass,T.B.A.,T.B.A.,T.B.A.,T.B.A.,KURIS A M,Space Full,Max 2
BMSE 199  - INDEPENDENT STUDIES,1.0-5.0,Optional,T.B.A.,T.B.A.,T.B.A.,T.B.A.,Space 5,Max 5,02972
BL ST 2  - BLK GLOBALIZATION,4.0,Letter Graded,TR,12:30 PM-1:45 PM,"Phelps Hall, 2524",MCAULEY C,Space 15,Max 60,02568
BL ST 3  - INTRO AFR STUDIES,4.0,Letter Graded,TR,9:30 AM-10:45 AM,"Ellison Hall, 2626",AKUDINOBI J,Space 1,Max 60,59907
BL ST 7  - INTRO CARIB STUDIES,4.0,Letter Graded,MW,12:30 PM-1:45 PM,"Harold Frank Hall, 1104",STRONGMAN R D,Space 1,Max 120,02642
BL ST 14  - HISTORY OF JAZZ,4.0,Letter Graded,MW,3:30 PM-4:45 PM,"Arts Building, 1349",STEWART J C,Space Full,Max 54,71738
BL ST 49B  - SURVEY AFRICAN HIST,4.0,Letter Graded,TR,9:30 AM-10:45 AM,"TD-W, 1701",WARE R T,Space Full,Max 30,02683
BL ST 99  - INDEPENDENT STUDIES,1.0-4.0,Letter Graded,T.B.A.,T.B.A.,T.B.A.,T.B.A.,Space 10,Max 10,02758
